station_code,station_latitude_deg,station_longitude_deg,site_key,mesh_code,jcode,avs30_mps,arv,avs_eb_mps,avs_ref,jshis_known
HKD127,42.8741,141.8204,HKD127|42.8741|141.8204,6441264543,9.0,281.3,1.3497,,0.0,1
HKD128,42.7655,141.8221,HKD128|42.7655|141.8221,6441161544,9.0,281.6,1.3486,,0.0,1
HKD129,42.6344,141.6057,HKD129|42.6344|141.6057,6341746812,16.0,260.2,1.4425,,0.0,1
HKD130,42.5627,141.3499,HKD130|42.5627|141.3499,6341627742,6.0,405.6,0.9882,,0.0,1
HKD131,42.4211,141.0814,HKD131|42.4211|141.0814,6341500641,10.0,269.9,1.398,,0.0,1
HKD132,42.3483,141.0319,HKD132|42.3483|141.0319,6341401243,15.0,207.5,1.749,,0.0,1
HKD133,42.4727,140.8658,HKD133|42.4727|140.8658,6340566932,5.0,259.2,1.4474,,0.0,1
HKD134,42.6711,141.0791,HKD134|42.6711|141.0791,6441000632,8.0,494.3,0.8349,,0.0,1
HKD135,42.5533,140.8866,HKD135|42.5533|140.8866,6340676024,8.0,359.6,1.0948,,0.0,1
HKD136,42.5894,140.6436,HKD136|42.5894|140.6436,6340750132,15.0,207.5,1.749,,0.0,1
HKD138,43.2921,140.6014,HKD138|43.2921|140.6014,6440745811,8.0,422.6,0.9543,,0.0,1
HKD142,43.0846,140.82,HKD142|43.0846|140.8200,6440560521,8.0,443.8,0.9153,,0.0,1
HKD144,42.9057,140.7672,HKD144|42.9057|140.7672,6440268132,13.0,181.2,1.9635,,0.0,1
HKD145,42.7977,140.9364,HKD145|42.7977|140.9364,6440175442,10.0,371.8,1.0642,,0.0,1
HKD147,42.8051,140.5302,HKD147|42.8051|140.5302,6440146232,8.0,442.1,0.9183,,0.0,1
HKD148,42.6677,140.3122,HKD148|42.6677|140.3122,6440020422,10.0,313.2,1.2318,,0.0,1
HKD149,42.7904,140.2305,HKD149|42.7904|140.2305,6440114834,8.0,438.9,0.924,,0.0,1
HKD151,42.4944,140.3539,HKD151|42.4944|140.3539,6340529814,15.0,195.9,1.8369,,0.0,1
HKD155,42.0436,140.8064,HKD155|42.0436|140.8064,6340065421,8.0,252.9,1.4777,,0.0,1
HKD156,41.8995,140.6958,HKD156|41.8995|140.6958,6240657543,8.0,475.5,0.8631,,0.0,1
HKD157,41.9051,140.9697,HKD157|41.9051|140.9697,6240678741,8.0,447.6,0.9086,,0.0,1
HKD158,41.8345,141.1411,HKD158|41.8345|141.1411,6241610112,15.0,202.8,1.7835,,0.0,1
HKD159,41.7162,141.0025,HKD159|41.7162|141.0025,6241405033,8.0,441.1,0.92,,0.0,1
HKD161,41.6795,140.4334,HKD161|41.6795|140.4334,6240431441,15.0,207.5,1.749,,0.0,1
HKD162,41.4862,140.247,HKD162|41.4862|140.2470,6240118924,10.0,281.9,1.3472,,0.0,1
HKD163,41.4339,140.1115,HKD163|41.4339|140.1115,6240102822,10.0,270.3,1.3965,,0.0,1
HKD166,42.2286,139.8184,HKD166|42.2286|139.8184,6339267514,8.0,455.2,0.8957,,0.0,1
HKD167,42.1297,139.9815,HKD167|42.1297|139.9815,6339175841,8.0,432.4,0.9358,,0.0,1
HKD169,41.9352,140.3695,HKD169|41.9352|140.3695,6240722921,8.0,474.6,0.8644,,0.0,1
HKD170,41.7492,140.2512,HKD170|41.7492|140.2512,6240429033,8.0,477.3,0.8603,,0.0,1
HKD171,41.6487,139.9976,HKD171|41.6487|139.9976,6239377944,8.0,450.6,0.9036,,0.0,1
HKD172,42.2397,139.552,HKD172|42.2397|139.5520,6339248433,7.0,351.4,1.1167,,0.0,1
HKD173,42.0661,139.4515,HKD173|42.0661|139.4515,6339037633,17.0,194.5,1.8484,,0.0,1
HKD175,43.6015,141.3882,HKD175|43.6015|141.3882,6541332111,8.0,448.4,0.9072,,0.0,1
HKD179,43.2237,141.5171,HKD179|43.2237|141.5171,6441646134,13.0,165.6,2.12,,0.0,1
HKD180,43.139,141.3513,HKD180|43.1390|141.3513,6441526831,13.0,149.0,2.319,,0.0,1
HKD181,43.1161,141.5462,HKD181|43.1161|141.5462,6441543343,9.0,199.4,1.8097,,0.0,1
HKD183,42.9721,141.1651,HKD183|42.9721|141.1651,6441316331,8.0,525.6,0.7924,,0.0,1
HKD185,42.7755,141.4021,HKD185|42.7755|141.4021,6441133211,5.0,330.3,1.1771,,0.0,1
HRS001,35.0337,132.9018,HRS001|35.0337|132.9018,5232474211,8.0,539.0,0.7756,,0.0,1
HRS002,34.8951,133.2755,HRS002|34.8951|133.2755,5233227213,10.0,452.6,0.9,,0.0,1
HRS003,34.8143,132.8418,HRS003|34.8143|132.8418,5232167732,10.0,405.3,0.9888,,0.0,1
HRS004,34.7262,132.2772,HRS004|34.7262|132.2772,5232027211,10.0,497.1,0.831,,0.0,1
